"","date","stock","crash","bubble","loan","interest","money","bear","bull","risk"
"1",2004-01-01,19.4825683928183,34.1180627032868,124.259024126649,65.8557312548113,41.6014726663583,79.0398663671918,111.542834311338,84.259535180365,109.10724152324
"2",2004-01-02,27.9250146963729,25.5885470274651,125.938200128361,76.2540046108341,62.4022089995374,90.7494761993684,105.733311690956,96.5473840608349,164.873164968452
"3",2004-01-03,20.1319873392456,33.0518732438091,120.900672123226,59.7900717971313,35.6584051425928,81.9672688252359,99.923789070574,105.324418975456,138.202505929437
"4",2004-01-04,18.833149446391,43.7137678385863,130.975728133495,54.5909351191199,35.6584051425928,81.9672688252359,105.733311690956,100.058198026683,133.353295195071
"5",2004-01-05,29.8732715356547,30.9194943248537,105.788088107823,71.0548679328227,48.5350514440847,78.0640655478437,102.247598118727,105.324418975456,133.353295195071
"6",2004-01-06,28.2497241695865,30.9194943248537,104.108912106112,85.7857551871884,69.3357877772638,82.943069644584,84.8190302575803,98.3027910437592,186.6946132731
"7",2004-01-07,26.950886276732,28.7871154058983,122.579848124938,76.2540046108341,56.4591414757719,71.2334598124075,85.9809347816567,98.3027910437592,181.845402538734
"8",2004-01-08,25.9767578570911,33.0518732438091,120.900672123226,74.520959051497,64.3832315074592,77.0882647284958,96.4380754983447,89.5257561291378,189.119218640283
"9",2004-01-09,31.4968189017229,30.9194943248537,120.900672123226,77.9870501701713,64.3832315074592,79.0398663671918,84.8190302575803,107.079825958381,201.242245476199
"10",2004-01-10,24.3532104910229,36.2504416222423,107.467264109535,54.5909351191199,58.4401639836938,75.1366630897996,106.895216215033,89.5257561291378,128.504084460705
"11",2004-01-11,21.7555347053138,34.1180627032868,122.579848124938,51.1248440004456,44.573006428241,81.9672688252359,96.4380754983447,80.7487212145165,167.297770335635
"12",2004-01-12,24.0285010178092,29.853304865376,110.825616112958,72.7879134921598,63.3927202534983,73.1850614511035,91.7904574020389,107.079825958381,208.516061577748
"13",2004-01-13,28.5744336428001,24.5223575679874,119.221496121515,80.586618509177,69.3357877772638,81.9672688252359,90.6285528779625,94.7919770779106,184.270007905917
"14",2004-01-14,25.9767578570911,29.853304865376,104.108912106112,81.4531412888456,63.3927202534983,80.9914680058879,79.0095076371981,107.079825958381,167.297770335635
"15",2004-01-15,28.5744336428001,26.6547364869429,87.3171520889969,80.586618509177,67.3547652693419,82.943069644584,91.7904574020389,100.058198026683,186.6946132731
"16",2004-01-16,28.8991431160138,22.389978649032,105.788088107823,71.0548679328227,67.3547652693419,77.0882647284958,91.7904574020389,105.324418975456,174.571586437184
"17",2004-01-17,23.7037915445956,33.0518732438091,119.221496121515,67.5887768141484,45.563517682202,69.2818581737113,88.3047438298096,98.3027910437592,140.627111296621
"18",2004-01-18,21.1061157588865,30.9194943248537,141.050784143764,59.7900717971313,36.6489163965537,82.943069644584,98.7618845464976,100.058198026683,133.353295195071
"19",2004-01-19,26.3014673303047,26.6547364869429,99.0713841009772,65.8557312548113,53.4876077138892,74.1608622704515,83.6571257335039,100.058198026683,169.722375702818
"20",2004-01-20,32.4709473213638,29.853304865376,104.108912106112,86.6522779668569,69.3357877772638,81.9672688252359,94.1142664501918,110.590639924229,174.571586437184
"21",2004-01-21,27.9250146963729,30.9194943248537,122.579848124938,75.3874818311656,58.4401639836938,80.0156671865398,91.7904574020389,100.058198026683,186.6946132731
"22",2004-01-22,28.8991431160138,27.7209259464206,127.617376130072,72.7879134921598,64.3832315074592,79.0398663671918,95.2761709742683,91.2811631120621,189.119218640283
"23",2004-01-23,29.5485620624411,26.6547364869429,156.163368159167,80.586618509177,67.3547652693419,83.9188704639321,97.5999800224211,142.187965616866,174.571586437184
"24",2004-01-24,23.7037915445956,33.0518732438091,139.371608142053,63.2561629158056,52.4970964599283,78.0640655478437,83.6571257335039,100.058198026683,126.079479093522
"25",2004-01-25,20.1319873392456,34.1180627032868,134.334080136918,68.455299593817,46.5540289361628,95.6284802961087,108.057120739109,96.5473840608349,143.051716663804
"26",2004-01-26,28.2497241695865,25.5885470274651,122.579848124938,76.2540046108341,62.4022089995374,76.1124639091476,99.923789070574,112.346046907153,213.365272312114
"27",2004-01-27,24.0285010178092,26.6547364869429,125.938200128361,82.3196640685141,65.3737427614202,82.943069644584,77.8476031131216,96.5473840608349,191.543824007466
"28",2004-01-28,27.2755957499456,23.4561681085097,112.504792114669,80.586618509177,72.3073215391465,80.0156671865398,74.3618895408923,89.5257561291378,203.666850843382
"29",2004-01-29,27.6003052231593,23.4561681085097,119.221496121515,79.7200957295084,65.3737427614202,79.0398663671918,83.6571257335039,93.0365700949864,198.817640109015
"30",2004-01-30,25.6520483838774,29.853304865376,119.221496121515,72.7879134921598,61.4116977455765,80.9914680058879,81.333316685351,110.590639924229,179.420797171551
"31",2004-01-31,20.1319873392456,34.1180627032868,115.863144118092,72.7879134921598,49.5255626980456,80.0156671865398,102.247598118727,75.4825002657437,111.531846890423
"32",2004-02-01,23.0543725981683,30.9194943248537,117.542320119803,51.1248440004456,56.4591414757719,76.1124639091476,87.1428393057332,108.835232941305,160.023954234085
"33",2004-02-02,25.9767578570911,23.4561681085097,105.788088107823,78.8535729498399,65.3737427614202,67.3302565350153,82.4952212094274,110.590639924229,189.119218640283
"34",2004-02-03,23.7037915445956,25.5885470274651,112.504792114669,72.7879134921598,72.3073215391465,73.1850614511035,89.4666483538861,84.259535180365,196.393034741832
"35",2004-02-04,25.6520483838774,22.389978649032,134.334080136918,81.4531412888456,69.3357877772638,82.943069644584,91.7904574020389,98.3027910437592,196.393034741832
